1	4.00768e+06
2	2.13244e+06
4	1.25311e+06
6	836013
8	642437
10	518086
12	440888
14	380152
16	339447
18	310973
20	285514
22	263614
24	264210
26	256984
28	252878
30	249719
32	316942
